-498.99,-834.979,-1.6633
-506.183,-819.692,-1.63285
-494.525,-838.99,-1.70526
-498.633,-817.761,-1.66211
-498.487,-791.15,-1.60802
-500.171,-769.015,-1.56303
-500.271,-745.86,-1.51597
-509.027,-981.408,-2.03611
-517.026,-958.49,-1.98856
-515.545,-920.346,-1.90942
-494.264,-850.842,-1.76523
-493.77,-820.683,-1.70265
-490.038,-787.33,-1.63346
-490.354,-762.424,-1.58179
-493.227,-742.925,-1.54133
-495.911,-724.332,-1.50276
-498.417,-706.582,-1.46593
-499.013,-687.214,-1.42575
-460.423,-1448.81,-3.06949
-470.031,-1386.6,-2.9377
-493.085,-1369.04,-2.9005
-473.922,-1065.2,-2.25677
-474.904,-1018.89,-2.15866
-484.419,-994.117,-2.10617
-492.834,-969.244,-2.05347
-502.183,-948.125,-2.00873
-501.113,-909.716,-1.92736
-490.16,-856.875,-1.81541
-489.648,-825.409,-1.74874
-490.173,-797.801,-1.69025
-490.544,-771.792,-1.63515
-491.949,-749.034,-1.58693
-494.6,-729.538,-1.54562
-497.039,-710.918,-1.50618
-499.315,-693.168,-1.46857
-501.764,-676.666,-1.43361
-508.351,-666.506,-1.41208
-461.029,-1521.41,-3.29308
-456.959,-1407.44,-3.0464
-463.591,-1338.63,-2.89745
-469.981,-1277.25,-2.7646
-477.414,-1225.37,-2.6523
-473.552,-1151.49,-2.49238
-476.886,-1101.61,-2.38443
-460.293,-1012.65,-2.19187
-469.796,-986.576,-2.13544
-479.892,-963.96,-2.08648
-489.04,-941.406,-2.03767
-496.973,-918.409,-1.98789
-491.565,-873.476,-1.89063
-492.525,-842.767,-1.82416
-493.234,-813.839,-1.76155
-493.756,-786.607,-1.7026
-494.138,-760.975,-1.64712
-495.697,-738.75,-1.59902
-498.015,-719.011,-1.5563
-500.402,-700.564,-1.51637
-502.606,-682.954,-1.47825
-505.053,-666.671,-1.44301
-510.534,-655.187,-1.41815
-444.198,-1673.16,-3.70167
-443.03,-1540.4,-3.40794
-445.708,-1439.01,-3.18364
-453.493,-1366.54,-3.02329
-460.694,-1301.47,-2.87934
-467.086,-1241.91,-2.74757
-472.805,-1187.27,-2.6267
-476.695,-1134.04,-2.50892
-462.082,-1044.31,-2.31041
-462.5,-995.481,-2.20238
-468.032,-961.598,-2.12742
-473.84,-931.202,-2.06017
-484.649,-912.76,-2.01937
-493.756,-892.714,-1.97502
-494.645,-859.924,-1.90248
-496.214,-830.703,-1.83783
-497.072,-802.419,-1.77525
-497.576,-775.535,-1.71578
-498.216,-750.648,-1.66072
-499.824,-728.778,-1.61233
-501.464,-708.319,-1.56707
-503.849,-690.123,-1.52681
-506.157,-672.893,-1.4887
-508.762,-657.032,-1.4536
-511.198,-641.839,-1.41999
-519.535,-634.677,-1.40415
-431.928,-1735.59,-3.92664
-437.633,-1611.96,-3.64696
-443.289,-1507.2,-3.40992
-448.712,-1416.66,-3.20509
-456.608,-1345.48,-3.04406
-463.829,-1281.34,-2.89893
-470.265,-1222.7,-2.76627
-475.887,-1168.57,-2.64382
-467.304,-1087.1,-2.45949
